date, pm25, pm10, o3, no2, so2, co
2020/4/2, 49, 25, 29, 5, , 1
2020/4/3, 47, 28, 32, 11, , 2
2020/4/4, 50, , 30, 7, , 2
2020/4/8, 13, 7, 28, 8, , 2
2020/4/9, 15, 5, 22, 6, , 1
2020/4/10, 11, 6, 26, 8, , 2
2020/4/11, 12, 13, 30, 8, , 2
2020/4/12, 33, 14, 23, 4, , 1
2020/4/13, 29, 10, 26, 6, , 2
2020/4/14, 21, 19, 29, 11, , 3
2020/4/15, 34, 21, 37, 14, , 3
2020/4/16, 35, 25, 34, 11, , 3
2020/4/17, 44, 17, 25, 7, , 2
2020/4/18, 30, 11, 20, 4, , 1
2020/4/19, 27, , , , , 
2020/3/2, 38, 22, 17, 15, , 5
2020/3/3, 31, 28, 25, 22, 1, 4
2020/3/4, 38, 39, 24, 18, 1, 5
2020/3/5, 59, 40, 31, 17, , 5
2020/3/6, 64, 37, 26, 17, 1, 5
2020/3/7, 63, 13, 25, 6, , 2
2020/3/8, 25, 8, 25, 7, , 2
2020/3/9, 19, 20, 21, 13, , 3
2020/3/10, 29, 10, 13, 9, , 2
2020/3/11, 25, 14, 19, 9, , 2
2020/3/12, 27, 18, 8, 16, , 5
2020/3/13, 38, 10, 14, 14, , 2
2020/3/14, 31, 11, 23, 12, , 2
2020/3/15, 30, 10, 29, 5, , 2
2020/3/16, 22, 22, 22, 11, , 3
2020/3/17, 32, 11, 25, 13, , 3
2020/3/18, 24, 17, 28, 13, , 3
2020/3/19, 28, 14, 24, 11, , 3
2020/3/20, 24, 16, 25, 8, , 2
2020/3/21, 21, 11, 29, 6, , 2
2020/3/22, 26, 11, 26, 6, , 2
2020/3/23, 21, 9, 29, 4, , 2
2020/3/24, 15, 15, 27, 8, , 2
2020/3/25, 23, 11, 28, 4, , 1
2020/3/26, 16, 11, 28, 7, , 1
2020/3/27, 17, 18, 30, 10, , 2
2020/3/28, 27, 20, 32, 6, , 1
2020/3/29, 34, 23, 31, 6, , 2
2020/3/30, 41, 21, 30, 8, , 2
2020/3/31, 39, 25, 27, 15, , 3
2020/4/1, 43, 25, 31, 14, 1, 2
2020/2/2, 34, 26, 21, 19, , 5
2020/2/3, 47, 28, 30, 6, , 2
2020/2/4, 16, 33, 10, 33, , 6
2020/2/5, 31, 24, 16, 28, , 5
2020/2/6, 26, 32, 24, 25, , 7
2020/2/7, 45, 36, 27, 27, , 7
2020/2/8, 58, 39, 32, 23, , 8
2020/2/9, 70, 20, 27, 12, , 2
2020/2/10, 46, 25, 24, 23, , 5
2020/2/11, 36, 34, 27, 24, , 4
2020/2/12, 34, 39, 24, 24, , 5
2020/2/13, 45, 42, 28, 20, , 5
2020/2/14, 56, 42, 29, 25, , 7
2020/2/15, 63, 38, 29, 22, , 6
2020/2/16, 64, 35, 36, 19, 1, 6
2020/2/17, 63, 38, 33, 24, 1, 7
2020/2/18, 70, 41, 28, 20, , 5
2020/2/19, 71, 43, 29, 15, , 4
2020/2/20, 77, 39, 30, 26, , 6
2020/2/21, 64, 32, 31, 24, , 5
2020/2/22, 47, 16, 26, 6, , 1
2020/2/23, 32, 23, 27, 10, , 3
2020/2/24, 41, 34, 26, 17, 1, 6
2020/2/25, 58, 33, 29, 24, 1, 7
2020/2/26, 49, 34, 26, 26, , 7
2020/2/27, 42, 33, 23, 29, , 7
2020/2/28, 34, 26, 25, 24, 1, 5
2020/2/29, 29, 24, 30, 15, , 4
2020/3/1, 45, 22, 29, 6, , 2
2020/1/2, 63, 32, 18, 24, 1, 7
2020/1/3, 63, 31, 12, 32, 1, 8
2020/1/4, 54, 38, 17, 29, 1, 9
2020/1/5, 68, 29, 20, 25, 1, 8
2020/1/6, 62, 26, 20, 29, 1, 7
2020/1/7, 40, 25, 17, 27, 1, 5
2020/1/8, 28, 28, 18, 24, 1, 6
2020/1/9, 49, 26, 21, 22, 1, 5
2020/1/10, 45, 27, 15, 25, 1, 7
2020/1/11, 47, 28, 19, 21, , 7
2020/1/12, 55, 27, 26, 17, , 5
2020/1/13, 58, 33, 24, 21, , 6
2020/1/14, 61, 34, 22, 24, , 7
2020/1/15, 62, 43, 21, 26, , 8
2020/1/16, 81, 35, 23, 21, , 6
2020/1/17, 70, 16, 21, 19, , 4
2020/1/18, 30, 24, 21, 23, , 5
2020/1/19, 32, 23, 18, 25, , 6
2020/1/20, 32, 31, 14, 28, , 7
2020/1/21, 60, 17, 23, 17, , 4
2020/1/22, 39, 26, 18, 21, , 5
2020/1/23, 47, 29, 19, 25, , 8
2020/1/24, 48, 30, 12, 30, , 8
2020/1/25, 53, 39, 13, 29, , 9
2020/1/26, 85, 44, 21, 16, , 4
2020/1/27, 110, 38, 17, 25, , 6
2020/1/28, 70, 25, 12, 30, , 6
2020/1/29, 33, 38, 24, 25, , 5
2020/1/30, 37, 38, 19, 29, , 7
2020/1/31, 35, 35, 20, 30, , 9
2020/2/1, 40, 26, 26, 26, , 7
2019/10/2, 44, 34, 43, 21, 1, 5
2019/10/3, 51, 35, 42, 24, 1, 6
2019/10/4, 52, 35, 33, 22, 1, 6
2019/10/5, 56, 38, 55, 23, 1, 6
2019/10/6, 58, 36, 73, 23, 1, 6
2019/10/7, 61, 35, 46, 27, 1, 6
2019/10/8, 58, 34, 33, 25, 1, 6
2019/10/9, 60, 30, 35, 12, 1, 2
2019/10/10, 58, 41, 36, 16, 1, 3
2019/10/11, 55, 44, 39, 27, 1, 6
2019/10/12, 48, 43, 54, 23, 1, 6
2019/10/13, 71, 46, 41, 21, 1, 6
2019/10/14, 70, 40, 37, 16, 1, 4
2019/10/15, 58, 46, 38, 26, 1, 6
2019/10/16, 67, 40, 36, 30, 1, 6
2019/10/17, 55, 45, 38, 19, 1, 3
2019/10/18, 63, 38, 32, 18, 1, 4
2019/10/19, 50, 33, 33, 21, 1, 6
2019/10/20, 52, 34, 35, 21, 1, 5
2019/10/21, 51, 29, 38, 24, 1, 5
2019/10/22, 34, 34, 38, 31, 1, 7
2019/10/23, 44, 40, 38, 38, 1, 8
2019/10/24, 56, 46, 35, 39, 1, 10
2019/10/25, 57, 41, 20, 34, 1, 9
2019/10/26, 43, 32, 36, 26, 2, 6
2019/10/27, 41, 31, 32, 8, 1, 2
2019/10/28, 50, 44, 35, 24, 1, 6
2019/10/29, 58, 53, 28, 26, 1, 6
2019/10/30, 56, 53, 31, 21, 1, 4
2019/10/31, 41, 40, 30, 27, 1, 6
2019/11/1, 43, 36, 27, 28, 1, 6
2019/11/2, 37, 47, 31, 32, 1, 7
2019/11/3, 71, 41, 38, 30, 1, 7
2019/11/4, 65, 45, 40, 33, 1, 8
2019/11/5, 67, 43, 36, 32, 1, 8
2019/11/6, 64, 46, 25, 29, 1, 7
2019/11/7, 73, 53, 33, 27, 1, 7
2019/11/8, 96, 47, 28, 37, 1, 9
2019/11/9, 67, 31, 30, 27, 1, 7
2019/11/10, 43, 36, 33, 20, 1, 6
2019/11/11, 68, 41, 35, 15, 1, 4
2019/11/12, 79, 40, 31, 24, 1, 8
2019/11/13, 75, 39, 18, 22, 1, 6
2019/11/14, 79, 36, 24, 21, , 5
2019/11/15, 70, 35, 13, 22, , 6
2019/11/16, 65, 40, 30, 26, 1, 8
2019/11/17, 68, 27, 32, 26, 1, 7
2019/11/18, 40, 28, 32, 30, 1, 5
2019/11/19, 32, 37, 21, 32, 1, 7
2019/11/20, 52, 19, 26, 11, , 2
2019/11/21, 31, 19, 23, 16, 1, 3
2019/11/22, 35, 28, 21, 22, 1, 5
2019/11/23, 45, 23, 27, 25, 1, 6
2019/11/24, 42, 21, 30, 22, 1, 6
2019/11/25, 38, 30, 25, 24, 1, 6
2019/11/26, 51, 67, 24, 21, 1, 4
2019/11/27, 46, 23, 21, 22, , 3
2019/11/28, 27, 6, 28, 6, , 2
2019/11/29, 18, 12, 26, 14, , 3
2019/11/30, 28, 14, 20, 14, 1, 4
2019/12/1, 31, 12, 17, 15, 1, 3
2019/12/2, 26, 24, 13, 25, 1, 5
2019/12/3, 42, 34, 2, 33, 1, 9
2019/12/4, 54, 14, 10, 23, , 4
2019/12/5, 39, 20, 18, 19, 1, 5
