date, pm25, pm10, o3, no2, so2, co
2020/4/2, 16, 7, 9, 4, , 
2020/4/3, 18, 7, 11, 7, , 
2020/4/4, 15, 3, 14, 2, , 
2020/4/5, 11, 7, 11, 2, , 
2020/4/6, 12, 15, 9, 7, , 
2020/4/7, 32, 18, 11, 7, , 
2020/4/8, 38, 24, 8, 8, , 
2020/4/9, 40, 27, 9, 7, , 
2020/4/10, 40, 11, 11, 2, , 
2020/4/11, 27, 10, 14, 2, , 
2020/4/12, 17, 7, 15, 3, , 
2020/4/13, 14, 9, 11, 8, , 
2020/4/14, 34, 18, 11, 5, , 
2020/4/15, 37, 17, 12, 8, , 
2020/4/16, 40, 20, 12, 8, , 
2020/4/17, 36, 18, 10, 8, , 
2020/4/18, 40, 9, 7, 2, , 
2020/4/19, 23, , , , , 
2020/3/2, 15, 4, 7, 4, , 
2020/3/3, 12, 5, 8, 7, , 
2020/3/4, 22, 15, 12, 7, , 
2020/3/5, 23, 7, 10, 5, , 
2020/3/6, 19, 13, 8, 5, , 
2020/3/7, 17, 6, 10, 4, , 
2020/3/8, 19, 6, 10, 3, , 
2020/3/9, 15, 13, 8, 6, , 
2020/3/10, 26, 4, 8, 4, , 
2020/3/11, 22, 18, 10, 6, , 
2020/3/12, 21, 15, 10, 5, , 
2020/3/13, 29, 4, 15, 4, , 
2020/3/14, 25, 6, 15, 1, , 
2020/3/15, 21, 9, 13, 2, , 
2020/3/16, 26, 15, 7, 8, , 
2020/3/17, 30, 17, 5, 9, , 
2020/3/18, 32, 17, 8, 10, , 
2020/3/19, 39, 23, 8, 10, , 
2020/3/20, 45, 20, 8, 10, , 
2020/3/21, 47, 17, 10, 5, , 
2020/3/22, 37, 11, 14, 4, , 
2020/3/23, 41, 7, 11, 5, , 
2020/3/24, 14, 5, 9, 4, , 
2020/3/25, 15, 6, 6, 6, , 
2020/3/26, 19, 6, 10, 5, , 
2020/3/27, 25, 4, 11, 3, , 
2020/3/28, 13, 3, 10, 4, , 
2020/3/29, 11, 4, 15, 2, , 
2020/3/30, 7, 9, 14, 2, , 
2020/3/31, 16, 6, 11, 4, , 
2020/4/1, 19, 5, 9, 6, , 
2020/2/2, 17, 5, 10, 3, , 
2020/2/3, 15, 5, 8, 5, , 
2020/2/4, 23, 3, 7, 4, , 
2020/2/5, 21, 4, 5, 4, , 
2020/2/6, 22, 4, 2, 5, , 
2020/2/7, 33, 3, 9, 5, , 
2020/2/8, 13, , 10, 4, , 
2020/2/9, 14, , 6, 5, , 
2020/2/10, 16, , 4, 7, , 
2020/2/11, 30, , 2, 6, , 
2020/2/12, 28, , 3, 6, , 
2020/2/13, 21, , 4, 5, , 
2020/2/14, 15, , 6, 8, , 
2020/2/15, 21, , 10, 4, , 
2020/2/16, 11, , 8, 4, , 
2020/2/17, 14, , 7, 4, , 
2020/2/18, 15, , 7, 6, , 
2020/2/19, 18, , 5, 8, , 
2020/2/20, 21, , 5, 9, , 
2020/2/21, 28, , 7, 8, , 
2020/2/22, 35, , 10, 4, , 
2020/2/23, 16, , 13, 3, , 
2020/2/24, 11, 17, 11, 9, , 
2020/2/25, 27, 6, 10, 5, , 
2020/2/26, 24, 5, 7, 5, , 
2020/2/27, 16, 3, 7, 4, , 
2020/2/28, 12, 6, 9, 6, , 
2020/2/29, 12, 14, 11, 5, , 
2020/3/1, 10, 7, 9, 4, , 
2020/1/2, 11, 6, 12, 4, , 
2020/1/3, 11, 6, 10, 4, , 
2020/1/4, 18, 6, 12, 4, , 
2020/1/5, 10, 5, 12, 3, , 
2020/1/6, 12, 3, 7, 4, , 
2020/1/7, 14, 4, 9, 5, , 
2020/1/8, 14, 16, 12, 6, , 
2020/1/9, 18, 10, 4, 7, , 
2020/1/10, 23, 3, 11, 3, , 
2020/1/11, 9, 7, 14, 4, , 
2020/1/12, 15, 3, 11, 3, , 
2020/1/13, 7, 5, 11, 5, , 
2020/1/14, 15, 5, 9, 7, , 
2020/1/15, 16, 3, 13, 4, , 
2020/1/16, 11, 7, 12, 6, , 
2020/1/17, 19, 5, 10, 5, , 
2020/1/18, 15, 4, 12, 4, , 
2020/1/19, 11, 3, 9, 3, , 
