time_Y_m_d,shoreline
1999-01-02,56.4
1999-01-03,57.673
1999-01-04,58.945
1999-01-04,58.861
1999-01-04,57.974
1999-01-05,56.325
1999-01-05,56.584
1999-01-06,61.708
1999-01-06,62.102
1999-01-07,61.209
1999-01-08,60.317
1999-01-08,60.459
1999-01-09,60.972
1999-01-10,60.536
1999-01-10,60.1
1999-01-11,59.679
1999-01-11,59.594
1999-01-12,59.155
1999-01-13,58.717
1999-01-14,58.278
1999-01-14,57.502
1999-01-15,56.565
1999-01-16,57.205
1999-01-16,58.092
1999-01-17,58.978
1999-01-18,59.865
1999-01-18,58.944
1999-01-19,58.053
1999-01-20,57.059
1999-01-21,56.065
1999-01-21,55.482
1999-01-22,54.894
1999-01-23,54.929
1999-01-24,55.016
1999-01-25,55.103
1999-01-26,55.189
1999-01-27,55.276
1999-01-28,55.362
1999-01-29,55.449
1999-01-30,55.535
1999-01-30,55.622
1999-01-31,55.708
1999-02-01,55.795
1999-02-02,55.881
1999-02-03,55.968
1999-02-04,56.054
1999-02-05,56.141
1999-02-06,56.228
1999-02-07,56.314
1999-02-08,56.401
1999-02-09,56.487
1999-02-10,56.372
1999-02-10,56.182
1999-02-10,56.119
1999-02-11,55.046
1999-02-11,55.049
1999-02-12,55.007
1999-02-12,54.971
1999-02-13,55.02
1999-02-13,55.141
1999-02-14,55.665
1999-02-14,55.95
1999-02-15,56.548
1999-02-16,57.146
1999-02-16,57.749
1999-02-17,58.142
1999-02-18,54.44
1999-02-18,54.359
1999-02-19,54.621
1999-02-20,57.924
1999-02-20,57.791
1999-02-21,54.703
1999-02-22,55.361
1999-02-23,56.212
1999-02-24,57.062
1999-02-25,57.913
1999-02-25,58.764
1999-02-26,59.614
1999-02-27,60.465
1999-02-28,61.316
1999-03-01,61.941
1999-03-02,62.043
1999-03-02,61.196
1999-03-03,59.299
1999-03-03,57.68
1999-03-04,54.636
1999-03-05,54.446
1999-03-05,54.515
1999-03-05,55.058
1999-03-06,55.344
1999-03-07,54.715
1999-03-08,56.535
1999-03-08,56.771
1999-03-09,57.508
1999-03-09,57.678
1999-03-10,56.175
1999-03-11,54.521
1999-03-11,54.661
1999-03-12,55.71
1999-03-13,56.758
1999-03-14,57.806
1999-03-15,58.854
1999-03-16,59.903
1999-03-16,58.303
1999-03-17,56.287
1999-03-17,56.44
1999-03-18,57.001
1999-03-18,57.562
1999-03-19,58.564
1999-03-20,59.567
1999-03-21,60.346
1999-03-22,59.681
1999-03-23,59.017
1999-03-23,58.964
1999-03-24,58.675
1999-03-24,58.581
1999-03-25,58.112
1999-03-26,57.949
1999-03-26,57.957
1999-03-27,58.122
1999-03-27,58.287
1999-03-28,58.503
1999-03-29,58.517
1999-03-29,58.423
1999-03-30,58.213
1999-03-30,58.003
