time,customers
Tue am,146
Tue pm,204
Wed am,167
Wed pm,197
Thu am,174
Thu pm,201
Fri am,209
Fri pm,589
Sat am,492
Sat pm,645
Tue am,132
Tue pm,205
Wed am,143
Wed pm,193
Thu am,123
Thu pm,175
Fri am,203
Fri pm,406
Sat am,432
Sat pm,682
Tue am,123
Tue pm,194
Wed am,165
Wed pm,206
Thu am,178
Thu pm,234
Fri am,201
Fri pm,384
Sat am,415
Sat pm,603
Tue am,165
Tue pm,193
Wed am,203
Wed pm,221
Thu am,143
Thu pm,194
Fri am,201
Fri pm,293
Sat am,456
Sat pm,683
Tue am,154
Tue pm,231
Wed am,109
Wed pm,167
Thu am,145
Thu pm,203
Fri am,245
Fri pm,439
Sat am,478
Sat pm,682
Tue am,142
Tue pm,192
Wed am,172
Wed pm,182
Thu am,152
Thu pm,205
Fri am,207
Fri pm,378
Sat am,502
Sat pm,682
Tue am,152
Tue pm,195
Wed am,152
Wed pm,187
Thu am,164
Thu pm,208
Fri am,256
Fri pm,356
Sat am,503
Sat pm,702
Tue am,172
Tue pm,215
Wed am,147
Wed pm,192
Thu am,138
Thu pm,193
Fri am,231
Fri pm,294
Sat am,427
Sat pm,682
Tue am,148
Tue pm,194
Wed am,158
Wed pm,203
Thu am,138
Thu pm,193
Fri am,273
Fri pm,394
Sat am,472
Sat pm,682
Tue am,146
Tue pm,208
Wed am,157
Wed pm,206
Thu am,205
Thu pm,274
Fri am,304
Fri pm,421
Sat am,456
Sat pm,672
Tue am,157
Tue pm,206
Wed am,146
Wed pm,253
Thu am,168
Thu pm,206
Fri am,209
Fri pm,461
Sat am,503
Sat pm,702
Tue am,182
Tue pm,205
Wed am,192
Wed pm,301
Thu am,142
Thu pm,272
Fri am,204
Fri pm,331
Sat am,392
Sat pm,592
